project_id,id,l1_tag,l2_tag,l3_tag,l4_tag,l5_tag,tags,time_start,time_end,time_taken,day,week,month
1,1,bq,al,,,,"[""a"", ""b"", ""c""]",,,0.09,2,1,6
1,2,postgres,bl,,,,"[""b"", ""c"", ""e""]",,,0.08,3,1,6
1,3,bq,cl,,,,"[""a"", ""d"", ""e""]",,,0.06,4,1,6
1,4,postgres,dl,,,,"[""a"", ""b"", ""c""]",,,0.04,5,1,6
1,5,bq,el,,,,"[""b"", ""c"", ""e""]",,,0.08,6,1,6
1,6,postgres,al,,,,"[""a"", ""d"", ""e""]",,,0.05,7,1,6
1,7,bq,bl,,,,"[""a"", ""b"", ""c""]",,,0.05,8,1,6
1,8,postgres,cl,,,,"[""b"", ""c"", ""e""]",,,0.05,9,1,6
1,9,bq,dl,,,,"[""a"", ""d"", ""e""]",,,0.08,10,2,6
1,10,postgres,el,,,,"[""a"", ""b"", ""c""]",,,0.08,11,2,6
1,11,bq,al,,,,"[""b"", ""c"", ""e""]",,,0.09,12,2,9
1,12,postgres,bl,,,,"[""a"", ""d"", ""e""]",,,0.08,13,2,9
1,13,bq,cl,,,,"[""a"", ""b"", ""c""]",,,0.06,14,2,9
1,14,postgres,dl,,,,"[""b"", ""c"", ""e""]",,,0.04,15,3,9
1,15,bq,el,,,,"[""a"", ""d"", ""e""]",,,0.08,16,3,9
1,16,postgres,al,,,,"[""a"", ""b"", ""c""]",,,0.09,17,3,9
1,17,bq,bl,,,,"[""b"", ""c"", ""e""]",,,0.08,18,3,9
1,18,postgres,cl,,,,"[""a"", ""d"", ""e""]",,,0.06,19,3,9
1,19,bq,dl,,,,"[""a"", ""b"", ""c""]",,,0.04,20,3,9
1,20,postgres,el,,,,"[""b"", ""c"", ""e""]",,,0.05,21,3,9
